Protein.Group	Protein.Names	Genes	First.Protein.Description	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_001_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_002_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_003_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_004_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_005_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_006_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_007_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_008_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_009_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_010_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_011_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_012_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_013_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_014_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_015_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_016_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_017_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_018_02_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_019_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_020_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_021_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_022_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_023_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_024_001_4pto.raw
O60462	NRP2_HUMAN	NRP2	Neuropilin-2	2.52387e+06	2.02745e+06	3.62873e+06	3.10039e+06	3.16099e+06	2.50059e+06	3.35718e+06	2.84866e+06	2.7948e+06	2.33946e+06	3.22383e+06	3.28611e+06	2.81e+06	3.21052e+06	3.21801e+06	3.49143e+06	2.99985e+06	2.33686e+06	3.37118e+06	3.7521e+06	2.85194e+06	2.98086e+06	3.0206e+06	3.90643e+06
O60476	MA1A2_HUMAN	MAN1A2	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB	2.25278e+06	2.41358e+06	2.44895e+06	2.15178e+06	2.33818e+06	2.03266e+06	2.39191e+06	2.23461e+06	2.48136e+06	1.99908e+06	2.56083e+06	2.1063e+06	3.17242e+06	2.18569e+06	2.38319e+06	2.55923e+06	2.32613e+06	2.1954e+06	2.31936e+06	2.55958e+06	2.24612e+06	2.10402e+06	2.167e+06	2.1983e+06
O60479	DLX3_HUMAN	DLX3	Homeobox protein DLX-3			8628.24			5632.57	7895.21	4561.74	7420.54		6426.18		8180.5	10073.2	9750.27		10130.7	5022.13			17245	12072.1	8322.68	5676.67
O60487	MPZL2_HUMAN	MPZL2	Myelin protein zero-like protein 2	1.0806e+07	8.59948e+06	1.33187e+07	1.56017e+07	1.04358e+07	9.91655e+06	1.31071e+07	1.49941e+07	1.27965e+07	1.00495e+07	1.36114e+07	1.55013e+07	1.14463e+07	1.32947e+07	1.69312e+07	2.11941e+07	1.54574e+07	1.49294e+07	1.70712e+07	2.01415e+07	1.47082e+07	1.38896e+07	1.62193e+07	2.26782e+07
O60488	ACSL4_HUMAN	ACSL4	Long-chain-fatty-acid--CoA ligase 4	5.19565e+07	5.82108e+07	5.70119e+07	5.92504e+07	5.09689e+07	5.3458e+07	5.71858e+07	6.02717e+07	6.11026e+07	6.02511e+07	5.99603e+07	5.95794e+07	5.90113e+07	4.83718e+07	5.37786e+07	5.84235e+07	5.11729e+07	5.46861e+07	5.35285e+07	6.20086e+07	5.24593e+07	4.06023e+07	4.99845e+07	5.52603e+07
O60493	SNX3_HUMAN	SNX3	Sorting nexin-3	1.84754e+07	1.63514e+07	1.64098e+07	2.07644e+07	1.95777e+07	1.80174e+07	1.83044e+07	1.69724e+07	1.45837e+07	1.68278e+07	1.63554e+07	1.57381e+07	1.69944e+07	2.3259e+07	2.26489e+07	2.1916e+07	2.23089e+07	2.22706e+07	2.02828e+07	1.98684e+07	1.98492e+07	2.71905e+07	2.20686e+07	1.9958e+07
O60499	STX10_HUMAN	STX10	Syntaxin-10	4.35471e+06	3.24741e+06	3.16853e+06	3.72046e+06	4.05124e+06	3.48572e+06	3.5259e+06	2.80709e+06	4.03396e+06	4.46309e+06	4.21115e+06	2.73571e+06	3.19427e+06	6.67399e+06	4.67369e+06	3.14005e+06	4.74729e+06	4.20971e+06	4.24613e+06	3.35876e+06	3.73594e+06	5.57856e+06	4.5284e+06	3.40656e+06
O60502	OGA_HUMAN	OGA	Protein O-GlcNAcase	2.68433e+07	2.61601e+07	2.62e+07	2.38597e+07	2.55654e+07	2.35564e+07	2.59177e+07	2.42469e+07	2.5018e+07	2.51003e+07	2.61409e+07	2.62234e+07	2.02005e+07	1.83847e+07	1.74441e+07	1.82642e+07	1.83149e+07	1.71886e+07	1.82023e+07	1.81049e+07	1.86471e+07	1.87822e+07	1.78688e+07	1.90365e+07
O60503	ADCY9_HUMAN	ADCY9	Adenylate cyclase type 9	33261	36035.4	27958.7	23956.4	26861.7	25030.2	27583.1	30082.6	29825.4	24594.6	42464.7	38394.1	24490.7	28342.3	10739	17344.7	29220.9	18828.4	26988.9	20329.1	23400.3	16978.1	23487.7	27852.2
O60504	VINEX_HUMAN	SORBS3	Vinexin	1.58124e+07	1.41995e+07	1.54361e+07	1.59455e+07	1.46611e+07	1.50734e+07	1.45407e+07	1.47782e+07	1.45459e+07	1.47422e+07	1.31896e+07	1.47103e+07	1.27485e+07	1.29705e+07	1.31963e+07	1.47436e+07	1.39839e+07	1.45463e+07	1.28182e+07	1.31752e+07	1.36622e+07	1.65874e+07	1.43104e+07	1.48089e+07
O60506	HNRPQ_HUMAN	SYNCRIP	Heterogeneous nuclear ribonucleoprotein Q	3.03963e+08	2.87211e+08	2.64162e+08	2.58682e+08	2.87999e+08	2.66886e+08	2.69013e+08	2.61927e+08	2.36901e+08	2.75735e+08	2.7725e+08	2.87403e+08	2.6074e+08	3.07969e+08	2.89442e+08	3.00079e+08	2.96033e+08	2.74578e+08	3.12843e+08	3.01621e+08	2.97345e+08	3.51422e+08	2.95926e+08	2.98043e+08
O60507	TPST1_HUMAN	TPST1	Protein-tyrosine sulfotransferase 1	80002.9	62472.9	90320.2	130871	82975.7	70857.5	99755.4	122887	67742.1	95580.3	63468.5	146162	54724.4	37971.7	32933.2	74789	46486.4	70546.8	76661.6	73078.7	52235.4	41852	67103.5	61732.2
O60508	PRP17_HUMAN	CDC40	Pre-mRNA-processing factor 17	6.09253e+06	6.58421e+06	6.54909e+06	6.59029e+06	5.71762e+06	6.3099e+06	6.87671e+06	6.45808e+06	7.27412e+06	6.94879e+06	6.75482e+06	6.9406e+06	8.76364e+06	6.86434e+06	7.16011e+06	6.92577e+06	7.09466e+06	7.65543e+06	7.27953e+06	7.56665e+06	6.98192e+06	5.7979e+06	7.01288e+06	7.14229e+06
